公司,年月,上市別,證期會代碼,TSE 產業別,TEJ產業_名稱,ROA－綜合損益,季別,實收資本額(元),ROE(A)－稅後,當季季底P/E,當季季底P/B,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,季底每股稅後淨利,收盤價(元),市值(百萬元),公司規模,股價變化,股價變化率
1102 亞泥,2023/6/30,TSE,1102,1,水泥製造,2.37,2.0,35465628810,3.89,13.5,0.98,-7.92,-25.19,-25.19,-24.88,-3.8,-3.77,-3.77,-26.07,2.67,3.4,,-0.01,1.93,42.12,157467.0,大,1.04,0.03
1103 嘉泥,2023/6/30,TSE,1103,1,水泥製造,4.46,2.0,7902474590,0.11,47.27,0.74,34.0,1166.07,1166.07,53.6,103.76,105.23,105.23,70.59,2.69,5.11,-9.15,1.44,0.03,20.77,16658.0,中,2.46,0.13
1104 環泥,2023/6/30,TSE,1104,1,水泥製造,6.32,2.0,6732174670,3.2,10.4,0.92,14.44,20.4,20.4,22.96,-25.57,-32.14,-32.14,-1.1,8.2,10.07,-12.64,-1.15,1.03,28.37,20066.0,中,3.88,0.16
1109 信大,2023/6/30,TSE,1109,1,水泥製造,2.48,2.0,3411588680,4.34,5.88,0.81,0.86,11.18,11.18,18.13,33.78,264.95,264.95,189.5,-1.17,2.7,-3.19,2.61,1.02,17.68,6311.0,中,1.39,0.09
1217 愛之味,2023/6/30,TSE,1217,2,罐頭加工,2.27,2.0,4945133360,1.27,31.32,0.92,4.46,-3.85,-3.85,-24.09,100.84,157.54,157.54,128.16,2.18,6.11,-6.89,0.5,0.17,12.8,6330.0,中,1.59,0.14
1234 黑松,2023/6/30,TSE,1234,2,飲料乳品,1.69,2.0,4018710940,2.17,13.51,0.92,19.64,23.6,23.6,112.12,37.02,30.45,30.45,30.42,-0.44,1.37,-2.98,0.41,0.98,39.43,16577.0,中,5.11,0.15
1312 國喬,2023/6/30,TSE,1312,3,石化,-2.18,2.0,9266203280,-2.33,,0.57,-19.25,-85.54,-85.54,-549.2,-201.05,-293.82,-293.82,-294.14,3.71,-8.57,63.48,-2.07,-0.9,18.92,17634.0,中,-0.54,-0.03
1313 聯成,2023/6/30,TSE,1313,3,石化,4.05,2.0,13570821070,-2.26,,0.72,-15.95,7.62,7.62,33.85,-231.88,-2265.57,-2265.57,-1970.5,-1.07,1.32,,-1.11,-0.46,14.85,20150.0,中,0.45,0.03
1314 中石化,2023/6/30,TSE,1314,3,石化,-1.04,2.0,37848501300,-2.33,,0.48,-21.99,-391.6,-391.6,-82.77,-131.28,-130.51,-130.51,-134.32,4.49,-0.63,4.69,-0.61,-0.48,9.8,37092.0,中,-0.05,-0.01
1315 達新,2023/6/30,TSE,1315,3,石化,5.66,2.0,990990000,2.48,8.26,0.64,-10.46,-6.49,-6.49,-27.09,29.09,39.17,39.17,36.29,-0.57,0.25,28.33,0.7,2.79,68.37,7016.0,中,2.87,0.04
