證券代碼,年月日,證期會代碼,外資買賣超(張),投信買賣超(張),自營買賣超(張),合計買賣超(張),外資買賣超日數,投信買賣超日數,自營買賣超日數,法人買賣超日數,董監持股％,董監持股數,融資餘額(張),融券餘額(張),券資比,融券增減比率,融資增減比率,200-400 張(比率),400-600 張(比率),600-800 張(比率),800-1000張(比率),1000張以上  (比率)
1101 台泥,2023/3/31,1101,"1,843",-590,-144,"1,109",1,-5,-4,1,7.89,"564,677","13,199",308,2.33,55.56,-0.32,2.73,1.53,1,1.04,58.73
1101 台泥,2023/3/30,1101,"-2,829","-1,483",-381,"-4,693",-5,-4,-3,-4,7.89,"564,677","13,241",198,1.5,0,0.95,,,,,
1101 台泥,2023/3/29,1101,-256,-2,-34,-292,-4,-3,-2,-3,7.89,"564,677","13,116",0,0,0,0.56,,,,,
1101 台泥,2023/3/28,1101,"-2,937",-847,-245,"-4,029",-3,-2,-1,-2,7.89,"564,677","13,043",0,0,0,0.63,,,,,
1101 台泥,2023/3/27,1101,"-3,851",-381,100,"-4,132",-2,-1,3,-1,7.89,"564,677","12,961",0,0,-100,-2,,,,,
1101 台泥,2023/3/24,1101,-386,735,68,417,-1,5,2,5,7.89,"564,677","13,226",10,0.08,-97.07,0.27,,,,,
1101 台泥,2023/3/23,1101,"4,618",281,62,"4,960",5,4,1,4,7.89,"564,677","13,190",341,2.59,-9.79,1.1,,,,,
1101 台泥,2023/3/22,1101,"1,883","3,908",-13,"5,778",4,3,-1,3,7.89,"564,677","13,047",378,2.9,9.57,-0.02,,,,,
1101 台泥,2023/3/21,1101,"1,812",231,47,"2,090",3,2,2,2,7.89,"564,677","13,050",345,2.64,-5.48,1.98,,,,,
1101 台泥,2023/3/20,1101,595,"1,745",31,"2,371",2,1,1,1,7.89,"564,677","12,796",365,2.85,-0.54,2.99,,,,,
1101 台泥,2023/3/17,1101,"2,643","-5,247",0,"-2,604",1,-1,,-2,7.89,"564,677","12,425",367,2.95,-24.33,3.65,2.78,1.49,1.07,1.01,58.81
1101 台泥,2023/3/16,1101,"-3,655","1,404",13,"-2,238",-1,3,1,-1,7.89,"564,677","11,988",485,4.05,-10.85,-0.98,,,,,
1101 台泥,2023/3/15,1101,763,"1,476",-988,"1,250",1,2,-1,1,7.89,"564,677","12,107",544,4.49,-0.91,3.45,,,,,
