m_date,company_id,revenue_release_date,revenue_m,revenue_m_lastyear, revenue_vs_lastyear_ratio, revenue_mom_ratio, revenue_growth_month,cumulative_revenue,cumulative_revenue_lastyear, cumulative_revenue_vs_lastyear_ratio
2023/11/30,1101,2023/12/11,8786909 ,9674576 ,-9.18 ,-6.24 ,-1 ,99100658 ,100384633 ,-1.28 
2023/11/30,1102,2023/12/8,6915817 ,8306062 ,-16.74 ,3.13 ,3 ,73861071 ,82003956 ,-9.93 
2023/11/30,1103,2023/12/11,255428 ,221763 ,15.18 ,-0.74 ,-1 ,2628002 ,2025015 ,29.78 
2023/11/30,1104,2023/12/8,777614 ,631827 ,23.07 ,18.81 ,3 ,7059882 ,6330757 ,11.52 
2023/11/30,1108,2023/12/11,503715 ,383773 ,31.25 ,11.65 ,2 ,4645368 ,3731154 ,24.50 
2023/11/30,1109,2023/12/8,532975 ,669587 ,-20.40 ,0.19 ,2 ,5690702 ,5872237 ,-3.09 
2023/11/30,1110,2023/12/8,229619 ,198316 ,15.78 ,20.14 ,3 ,2062261 ,1626839 ,26.76 
2023/11/30,1201,2023/12/8,1854759 ,1596213 ,16.20 ,-2.12 ,-3 ,19740018 ,18529734 ,6.53 
2023/11/30,1203,2023/12/11,565727 ,538061 ,5.14 ,12.17 ,1 ,5788984 ,5769452 ,0.34 
2023/11/30,1210,2023/12/11,9371916 ,10074064 ,-6.97 ,4.22 ,1 ,101517687 ,102881897 ,-1.33 
2023/11/30,1213,2023/12/11,31 ,30289 ,-99.90 ,-92.31 ,-1 ,110350 ,359159 ,-69.28 
2023/11/30,1215,2023/12/8,2419018 ,2595219 ,-6.79 ,1.54 ,1 ,26751822 ,26211109 ,2.06 
2023/11/30,1216,2023/12/11,48163404 ,40656907 ,18.46 ,-3.29 ,-3 ,531816272 ,480084395 ,10.78 
2023/11/30,1217,2023/12/11,308855 ,304862 ,1.31 ,-4.67 ,-3 ,4588973 ,4465082 ,2.77 
2023/11/30,1218,2023/12/8,978504 ,927603 ,5.49 ,9.49 ,1 ,10458144 ,10257042 ,1.96 
2023/11/30,1219,2023/12/8,1419631 ,1445798 ,-1.81 ,10.83 ,1 ,15100454 ,15533376 ,-2.79 
2023/11/30,1220,2023/12/8,338368 ,350129 ,-3.36 ,17.06 ,1 ,2982215 ,3239081 ,-7.93 
2023/11/30,1225,2023/12/8,1237270 ,1291214 ,-4.18 ,2.00 ,2 ,13362896 ,13827751 ,-3.36 
2023/11/30,1227,2023/12/11,2683145 ,2778357 ,-3.43 ,32.34 ,1 ,24840214 ,25360333 ,-2.05 
2023/11/30,1229,2023/12/8,1176212 ,941152 ,24.98 ,-2.06 ,-1 ,11663834 ,11096785 ,5.11 
2023/11/30,1231,2023/12/8,827389 ,869263 ,-4.82 ,-5.38 ,-1 ,9691289 ,9499090 ,2.02 
2023/11/30,1232,2023/12/7,1923822 ,2258878 ,-14.83 ,0.08 ,2 ,21553923 ,22145699 ,-2.67 
2023/11/30,1233,2023/12/8,172074 ,177433 ,-3.02 ,-2.11 ,-2 ,1918256 ,1654676 ,15.93 
2023/11/30,1234,2023/12/8,892680 ,919746 ,-2.94 ,-7.09 ,-3 ,9817643 ,8702369 ,12.82 
2023/11/30,1235,2023/12/8,19326 ,2669 ,624.09 ,481.58 ,1 ,55359 ,54723 ,1.16 
2023/11/30,1236,2023/12/8,164750 ,190090 ,-13.33 ,31.37 ,1 ,1711587 ,1788617 ,-4.31 
2023/11/30,1240,2023/12/11,270163 ,286961 ,-5.85 ,9.86 ,2 ,2641440 ,3061596 ,-13.72 
2023/11/30,1256,2023/12/4,228652 ,183937 ,24.31 ,2.73 ,1 ,4355622 ,3763809 ,15.72 
2023/11/30,1259,2023/12/8,484899 ,487256 ,-0.48 ,-4.16 ,-4 ,5517171 ,5237748 ,5.33 
2023/11/30,1264,2023/12/8,518651 ,492249 ,5.36 ,13.09 ,1 ,5185057 ,4695475 ,10.43 
2023/11/30,1268,2023/12/11,405359 ,350778 ,15.56 ,0.64 ,1 ,4417622 ,3317662 ,33.15 
2023/11/30,1301,2023/12/7,16406350 ,17363777 ,-5.51 ,0.61 ,1 ,184108629 ,234985330 ,-21.65 
