index_name,date,index_open,index_high,index_low,index_close,index_volume,index_ma5,index_ma10,index_ma20,index_ma60,index_mavol_5,index_mavol_10,index_mavol_20,index_mavol_60
OTC,2023/12/29,233.99 ,234.46 ,233.34 ,234.01 ,1592174.00 ,233.72 ,232.99 ,232.94 ,223.34 ,1670777.00 ,1670704.00 ,1922072.00 ,1761599.00 
TSE,2023/12/29,17893.63 ,17945.70 ,17864.23 ,17930.81 ,5813967.00 ,17817.85 ,17709.34 ,17576.56 ,17027.43 ,6100530.00 ,6659565.00 ,6927104.00 ,6176329.00 
OTC,2023/12/28,234.85 ,235.35 ,233.72 ,233.91 ,1900540.00 ,233.49 ,233.07 ,232.85 ,223.00 ,1691277.00 ,1739800.00 ,1947371.00 ,1761099.00 
TSE,2023/12/28,17900.76 ,17928.14 ,17841.76 ,17910.37 ,6580845.00 ,17751.01 ,17683.65 ,17551.94 ,16999.80 ,6313411.00 ,7003827.00 ,6958878.00 ,6173458.00 
OTC,2023/12/27,234.06 ,235.22 ,234.06 ,234.73 ,1900184.00 ,233.03 ,233.16 ,232.74 ,222.68 ,1613406.00 ,1782314.00 ,1960337.00 ,1759799.00 
TSE,2023/12/27,17766.73 ,17897.16 ,17766.73 ,17891.50 ,6800409.00 ,17677.69 ,17657.92 ,17528.11 ,16975.54 ,6475477.00 ,7197005.00 ,6997253.00 ,6161983.00 
OTC,2023/12/26,232.22 ,233.89 ,232.22 ,233.89 ,1426954.00 ,232.55 ,233.07 ,232.54 ,222.37 ,1543039.00 ,1789060.00 ,1975443.00 ,1756399.00 
TSE,2023/12/26,17619.09 ,17751.73 ,17619.09 ,17751.73 ,5536355.00 ,17626.43 ,17615.66 ,17502.07 ,16953.30 ,6537949.00 ,7219224.00 ,7007650.00 ,6144209.00 
OTC,2023/12/25,232.93 ,233.50 ,232.05 ,232.05 ,1534031.00 ,231.98 ,233.02 ,232.30 ,222.02 ,1601894.00 ,1857709.00 ,1992921.00 ,1755581.00 
TSE,2023/12/25,17596.27 ,17663.35 ,17595.27 ,17604.84 ,5771072.00 ,17591.39 ,17585.55 ,17481.54 ,16930.00 ,6866572.00 ,7324954.00 ,7047194.00 ,6137165.00 
OTC,2023/12/22,231.87 ,233.22 ,231.87 ,232.85 ,1694677.00 ,232.26 ,233.08 ,231.93 ,221.70 ,1670632.00 ,1904365.00 ,2004629.00 ,1749686.00 
TSE,2023/12/22,17586.16 ,17618.17 ,17567.55 ,17596.63 ,6878372.00 ,17600.83 ,17566.90 ,17458.17 ,16908.43 ,7218601.00 ,7365685.00 ,7058977.00 ,6117678.00 
OTC,2023/12/21,231.78 ,232.11 ,230.11 ,231.63 ,1511185.00 ,232.65 ,233.01 ,231.62 ,221.35 ,1788323.00 ,1935274.00 ,2011737.00 ,1745955.00 
TSE,2023/12/21,17531.45 ,17552.90 ,17442.76 ,17543.74 ,7391178.00 ,17616.28 ,17545.64 ,17442.71 ,16886.42 ,7694244.00 ,7323896.00 ,6989435.00 ,6089450.00 
