公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,date,Year,股價變化,股價變化率
1101 台泥,1101,1101,2023-03-31,1,水泥製造,M11A,TEJN01  傳產- 水泥,35.91,1.0,0.2,1.05,0.54,14.46,18.32,18.32,-20.02,26.34,17.41,17.41,-33.31,1.95,1.83,22.69,0.14,2023-03-31,2023,-1.6,-4.36
1103 嘉泥,1103,1103,2023-03-31,1,水泥製造,M11A,TEJN01  傳產- 水泥,18.31,1.0,0.03,4.47,2.73,27.08,309.15,309.15,43.91,149.69,133.51,133.51,58.14,-8.6,-13.2,-9.41,0.28,2023-03-31,2023,0.45,2.35
1104 環泥,1104,1104,2023-03-31,1,水泥製造,M11A,TEJN01  傳產- 水泥,24.49,1.0,0.42,2.52,1.96,19.79,17.92,17.92,12.89,-56.71,-59.69,-59.69,-23.47,4.46,4.86,-12.81,-1.47,2023-03-31,2023,-2.05,-7.17
1108 幸福,1108,1108,2023-03-31,1,水泥製造,M11A,TEJN01  傳產- 水泥,14.15,1.0,0.31,2.67,1.32,24.04,42.38,42.38,69.8,122.13,131.78,131.78,85.57,19.72,5.71,4.54,0.82,2023-03-31,2023,-0.93,-5.83
1109 信大,1109,1109,2023-03-31,1,水泥製造,M11A,TEJN01  傳產- 水泥,16.29,1.0,0.42,1.98,1.68,7.66,25.28,25.28,45.92,47.86,50.92,50.92,24.44,0.13,-3.02,0.18,0.48,2023-03-31,2023,-0.35,-1.9
1210 大成,1210,1210,2023-03-31,2,油脂飼料,M12B,TEJN02  傳產- 食品,49.64,1.0,0.9,3.82,1.83,5.87,24.57,24.57,66.37,28.59,41.47,41.47,309.87,2.36,8.62,12.48,0.6,2023-03-31,2023,2.5,4.71
1215 卜蜂,1215,1215,2023-03-31,2,油脂飼料,M12B,TEJN02  傳產- 食品,83.1,1.0,1.43,0.77,0.28,0.45,10.92,10.92,28.03,33.1,32.96,32.96,34.15,7.24,8.12,10.1,0.57,2023-03-31,2023,7.18,7.89
1216 統一,1216,1216,2023-03-31,2,飲料乳品,M12C,TEJN02  傳產- 食品,68.93,1.0,0.88,3.55,1.26,5.8,5.31,5.31,-14.76,20.8,19.63,19.63,15.4,5.15,3.37,0.69,0.35,2023-03-31,2023,-1.2,-1.66
1233 天仁,1233,1233,2023-03-31,2,其他食品,M12Z,TEJN02  傳產- 食品,33.43,1.0,0.35,-0.88,-0.55,14.66,15.91,15.91,205.04,82.5,80.71,80.71,80.78,-2.05,-6.48,1.39,0.66,2023-03-31,2023,0.15,0.42
1234 黑松,1234,1234,2023-03-31,2,飲料乳品,M12C,TEJN02  傳產- 食品,34.32,1.0,0.47,1.06,0.85,24.36,32.32,32.32,529.68,64.09,52.06,52.06,52.07,-0.38,-2.53,-0.68,0.29,2023-03-31,2023,-0.15,-0.39
