證券代碼,年月日,證期會代碼,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),5日均價(元),10日均價(元),20日均價(元),60日均價(元),5日均量,10日均量,20日均量,60日均量
1101 台泥,2023/6/30,1101,38.05,38.35,38.05,38.05,"11,159",38.28,38.44,38.4475,38.1942,"12,719.65","16,036.70","16,738.22","23,943.02"
1101 台泥,2023/6/29,1101,38.15,38.4,38.05,38.05,"9,958",38.41,38.47,38.44,38.1633,"13,421.50","16,101.10","18,940.30","23,969.79"
1101 台泥,2023/6/28,1101,38.45,38.5,38,38.05,"18,919",38.51,38.49,38.4525,38.135,"14,965.61","16,529.23","19,885.76","24,019.23"
1101 台泥,2023/6/27,1101,38.7,38.8,38.4,38.45,"10,190",38.64,38.51,38.4575,38.1042,"13,759.22","16,274.28","20,241.21","24,158.68"
1101 台泥,2023/6/26,1101,38.7,38.95,38.45,38.8,"13,371",38.69,38.51,38.435,38.0742,"19,551.87","16,505.11","20,793.37","24,417.83"
1101 台泥,2023/6/21,1101,38.55,38.75,38.35,38.7,"14,668",38.6,38.48,38.3975,38.0542,"19,353.74","16,613.34","21,645.54","24,425.30"
1101 台泥,2023/6/20,1101,38.7,38.75,38.45,38.55,"17,678",38.53,38.49,38.355,38.0317,"18,780.69","16,315.79","21,996.19","24,422.13"
1101 台泥,2023/6/19,1101,38.75,38.95,38.6,38.7,"12,887",38.47,38.515,38.3225,38.0092,"18,092.84","15,726.30","22,247.02","24,405.84"
1101 台泥,2023/6/16,1101,38.4,39.2,38.3,38.7,"39,153",38.38,38.53,38.3,37.9817,"18,789.34","16,796.44","22,811.96","24,384.56"
1101 台泥,2023/6/15,1101,38.35,38.4,38.2,38.35,"12,380",38.33,38.515,38.2575,37.9517,"13,458.35","16,645.24","22,056.40","23,917.16"
1101 台泥,2023/6/14,1101,38.35,38.45,38.15,38.35,"11,803",38.36,38.455,38.2325,37.9192,"13,872.93","17,439.73","22,347.51","24,241.60"
1101 台泥,2023/6/13,1101,38.3,38.4,38.05,38.25,"14,239",38.45,38.41,38.21,37.8858,"13,850.88","21,779.50","22,793.18","24,382.14"
1101 台泥,2023/6/12,1101,38.7,38.75,38.15,38.25,"16,369",38.56,38.415,38.185,37.8667,"13,359.75","23,242.30","22,810.36","24,405.77"
1101 台泥,2023/6/9,1101,38.5,38.5,38.3,38.45,"12,498",38.68,38.405,38.14,37.8417,"14,803.54","24,208.14","23,475.91","24,425.77"
1101 台泥,2023/6/8,1101,38.8,38.8,38.3,38.5,"14,453",38.7,38.36,38.1075,37.8133,"19,832.13","25,081.63","24,155.62","24,592.77"
1101 台泥,2023/6/7,1101,38.9,38.95,38.6,38.8,"11,693",38.55,38.315,38.0925,37.7833,"21,006.54","26,677.75","24,615.41","24,771.76"
1101 台泥,2023/6/6,1101,38.95,39.05,38.65,38.8,"11,784",38.37,38.22,38.095,37.7567,"29,708.12","27,676.59","24,833.79","24,975.14"
1101 台泥,2023/6/5,1101,38.75,39.25,38.65,38.85,"23,588",38.27,38.13,38.0875,37.7392,"33,124.85","28,767.75","26,145.78","25,141.93"
1101 台泥,2023/6/2,1101,37.75,38.75,37.75,38.55,"37,641",38.13,38.07,38.125,37.7242,"33,612.75","28,827.48","26,275.12","24,962.08"
1101 台泥,2023/6/1,1101,38.05,38.1,37.75,37.75,"20,325",38.02,38,38.1625,37.7142,"30,331.13","27,467.56","25,188.14","24,536.21"
1102 亞泥,2023/6/30,1102,44.55,44.7,44.25,44.4,"4,504",44.51,44.275,44.31,44.0917,"4,576.95","5,054.42","4,637.25","4,195.78"
1102 亞泥,2023/6/29,1102,44.75,44.75,44.55,44.65,"4,057",44.47,44.235,44.2875,44.0717,"4,587.46","5,175.02","4,719.82","4,177.13"
1102 亞泥,2023/6/28,1102,44.5,44.65,44.4,44.6,"3,591",44.36,44.17,44.2575,44.0492,"4,884.69","5,330.94","4,738.78","4,181.61"
1102 亞泥,2023/6/27,1102,44.65,44.65,44.25,44.3,"3,148",44.25,44.145,44.22,44.0242,"5,086.05","5,256.45","4,777.04","4,181.88"
1102 亞泥,2023/6/26,1102,44.3,44.8,44.05,44.6,"7,582",44.18,44.175,44.2,44.0008,"6,122.65","5,235.62","4,865.91","4,194.66"
1102 亞泥,2023/6/21,1102,44.1,44.3,43.95,44.2,"4,557",44.04,44.18,44.17,43.9742,"5,531.89","4,919.49","4,763.74","4,126.86"
1102 亞泥,2023/6/20,1102,44.05,44.3,44,44.1,"5,543",44,44.2,44.1775,43.9542,"5,762.59","5,102.94","4,743.18","4,099.16"
1102 亞泥,2023/6/19,1102,43.95,44.3,43.95,44.05,"4,597",43.98,44.25,44.205,43.9342,"5,777.18","4,876.97","4,704.42","4,072.44"
1102 亞泥,2023/6/16,1102,43.95,44.25,43.95,43.95,"8,331",44.04,44.3,44.2275,43.9117,"5,426.85","4,722.92","4,673.25","4,042.38"
1102 亞泥,2023/6/15,1102,44.1,44.2,43.9,43.9,"4,628",44.17,44.33,44.255,43.8908,"4,348.59","4,320.94","4,511.48","3,952.58"
1102 亞泥,2023/6/14,1102,44,44.2,43.85,44,"5,710",44.32,44.345,44.275,43.87,"4,307.08","4,220.07","4,525.56","4,093.65"
1102 亞泥,2023/6/13,1102,44.2,44.4,44,44,"5,616",44.4,44.34,44.2925,43.8533,"4,443.30","4,264.62","4,528.59","4,081.97"
1102 亞泥,2023/6/12,1102,44.6,44.65,44.15,44.35,"2,846",44.52,44.345,44.31,43.8358,"3,976.75","4,146.62","4,398.31","4,066.36"
1102 亞泥,2023/6/9,1102,44.8,44.8,44.4,44.6,"2,940",44.56,44.295,44.305,43.8067,"4,018.99","4,297.63","4,398.40","4,115.58"
1102 亞泥,2023/6/8,1102,44.45,44.8,44.35,44.65,"4,421",44.49,44.225,44.2725,43.7775,"4,293.30","4,496.20","4,388.80","4,166.24"
1102 亞泥,2023/6/7,1102,44.6,44.65,44.3,44.4,"6,391",44.37,44.16,44.2325,43.7475,"4,133.06","4,607.99","4,333.26","4,191.28"
1102 亞泥,2023/6/6,1102,44.55,44.7,44.35,44.6,"3,284",44.28,44.155,44.22,43.7283,"4,085.94","4,383.42","4,200.65","4,170.02"
1102 亞泥,2023/6/5,1102,44.3,44.6,44.25,44.55,"3,057",44.17,44.16,44.2125,43.7058,"4,316.49","4,531.87","4,152.95","4,332.78"
1102 亞泥,2023/6/2,1102,44.25,44.4,44.1,44.25,"4,312",44.03,44.155,44.21,43.7058,"4,576.28","4,623.58","4,273.89","4,335.50"
1102 亞泥,2023/6/1,1102,44.15,44.3,43.9,44.05,"3,619",43.96,44.18,44.21,43.71,"4,699.10","4,702.01","4,173.72","4,341.65"
1103 嘉泥,2023/6/30,1103,21.4,21.5,21.3,21.5,746,21.52,21.905,21.2675,20.31,"1,428.27","3,767.49","2,296.60","1,256.90"
1103 嘉泥,2023/6/29,1103,21.55,21.75,21.4,21.4,653,21.79,21.845,21.2375,20.2675,"2,543.22","3,883.56","2,495.40","1,247.78"
1103 嘉泥,2023/6/28,1103,21.5,21.75,21.35,21.55,865,22.18,21.765,21.1675,20.2258,"5,077.40","3,857.08","2,480.43","1,238.65"
1103 嘉泥,2023/6/27,1103,21.8,21.8,21.2,21.35,"1,453",22.4,21.66,21.0875,20.1808,"6,111.33","3,818.94","2,455.21","1,227.87"
1103 嘉泥,2023/6/26,1103,22.8,22.8,21.8,21.8,"3,421",22.44,21.59,21.0125,20.1425,"6,518.67","3,712.89","2,405.12","1,206.87"
1103 嘉泥,2023/6/21,1103,23.1,23.25,22.4,22.85,"6,321",22.29,21.475,20.9225,20.1,"6,106.71","3,449.42","2,245.11","1,159.31"
1103 嘉泥,2023/6/20,1103,23.25,23.8,23,23.35,"13,324",21.9,21.27,20.79,20.0342,"5,223.90","2,910.83","1,948.98","1,057.27"
1103 嘉泥,2023/6/19,1103,21.4,22.75,21.3,22.65,"6,035",21.35,21,20.6275,19.9575,"2,636.77","1,640.07","1,298.41",838.643
1103 嘉泥,2023/6/16,1103,20.95,21.7,20.95,21.55,"3,490",20.92,20.79,20.5,19.8917,"1,526.56","1,097.65","1,013.94",741.327
1103 嘉泥,2023/6/15,1103,21.1,21.3,20.9,21.05,"1,361",20.74,20.685,20.4225,19.8458,907.103,810.902,865.871,686.552
1103 嘉泥,2023/6/14,1103,20.6,21.1,20.6,20.9,"1,907",20.66,20.63,20.37,19.8075,792.137,825.722,812.996,671.843
1103 嘉泥,2023/6/13,1103,20.7,20.7,20.5,20.6,389,20.64,20.63,20.335,19.7675,597.756,"1,107.25",758.35,645.968
1103 嘉泥,2023/6/12,1103,20.75,20.75,20.5,20.5,484,20.65,20.57,20.3,19.7375,643.366,"1,103.77",753.717,645.905
1103 嘉泥,2023/6/9,1103,20.7,20.75,20.6,20.65,393,20.66,20.515,20.2575,19.7108,668.739,"1,091.48",743.874,641.617
1103 嘉泥,2023/6/8,1103,20.8,20.9,20.6,20.65,786,20.63,20.435,20.215,19.6858,714.701,"1,097.35",743.049,645.957
1103 嘉泥,2023/6/7,1103,20.7,20.85,20.6,20.8,935,20.6,20.37,20.1725,19.655,859.307,"1,040.80",726.798,650.123
1103 嘉泥,2023/6/6,1103,20.55,20.7,20.5,20.65,617,20.62,20.31,20.1375,19.6292,"1,616.74",987.136,693.653,649.716
1103 嘉泥,2023/6/5,1103,20.5,20.7,20.5,20.55,611,20.49,20.255,20.105,19.61,"1,564.18",956.761,691.99,649.498
1103 嘉泥,2023/6/2,1103,20.5,20.65,20.45,20.5,623,20.37,20.21,20.095,19.5958,"1,514.22",930.226,698.428,645.363
1103 嘉泥,2023/6/1,1103,20.9,20.95,20.4,20.5,"1,509",20.24,20.16,20.0775,19.5825,"1,479.99",920.84,686.071,646.005
1104 環泥,2023/6/30,1104,30.45,30.8,30.4,30.7,991,30.65,30.835,30.2225,28.6258,"1,254.48","1,602.50","3,398.51","3,204.14"
1104 環泥,2023/6/29,1104,30.8,30.8,30.3,30.5,"1,276",30.7,30.885,30.07,28.5492,"1,252.49","1,850.97","3,395.52","3,209.10"
1104 環泥,2023/6/28,1104,30.85,30.85,30.45,30.65,"1,418",30.74,31.015,29.925,28.4767,"1,274.83","2,620.03","3,395.80","3,218.85"
1104 環泥,2023/6/27,1104,30.7,31.1,30.6,30.7,"1,544",30.8,31.08,29.785,28.3992,"1,258.92","3,307.77","3,387.08","3,222.32"
1104 環泥,2023/6/26,1104,30.9,30.9,30.45,30.7,"1,041",30.91,31.035,29.64,28.325,"1,431.32","3,816.02","3,364.53","3,275.90"
1104 環泥,2023/6/21,1104,30.95,31,30.65,30.95,981,31.02,30.94,29.5,28.2383,"1,950.53","4,619.24","3,380.72","3,269.70"
1104 環泥,2023/6/20,1104,31,31,30.5,30.7,"1,388",31.07,30.755,29.3675,28.1483,"2,449.44","4,847.62","3,427.24","3,273.94"
1104 環泥,2023/6/19,1104,31.25,31.25,30.8,30.95,"1,339",31.29,30.575,29.2275,28.0583,"3,965.23","5,633.77","3,438.70","3,278.61"
1104 環泥,2023/6/16,1104,31.4,31.6,31.2,31.25,"2,406",31.36,30.29,29.0725,27.9708,"5,356.62","5,609.24","3,467.28","3,277.48"
1104 環泥,2023/6/15,1104,31.2,31.35,30.4,31.25,"3,637",31.16,29.955,28.8725,27.8725,"6,200.71","5,472.05","3,472.86","3,268.91"
1104 環泥,2023/6/14,1104,31.8,31.9,31.1,31.2,"3,475",30.86,29.61,28.69,27.7783,"7,287.96","5,194.51","3,397.61","3,296.22"
1104 環泥,2023/6/13,1104,31.7,31.85,31,31.8,"8,967",30.44,29.255,28.495,27.665,"7,245.79","4,940.08","3,411.74","3,270.62"
1104 環泥,2023/6/12,1104,30.7,31.45,30.45,31.3,"8,296",29.86,28.835,28.285,27.5508,"7,302.32","4,171.57","3,344.22","3,168.08"
1104 環泥,2023/6/9,1104,29.8,30.4,29.5,30.25,"6,626",29.22,28.49,28.1475,27.4308,"5,861.86","3,466.39","3,166.04","3,047.81"
1104 環泥,2023/6/8,1104,29.1,29.95,28.95,29.75,"9,073",28.75,28.245,28.1275,27.3267,"4,743.39","2,913.04","2,932.18","2,954.80"
1104 環泥,2023/6/7,1104,28.9,29.2,28.8,29.1,"3,265",28.36,28.06,28.125,27.2325,"3,101.07","2,142.20","2,693.17","2,819.19"
1104 環泥,2023/6/6,1104,28.25,29.2,28.2,28.9,"9,250",28.07,27.98,28.1775,27.1542,"2,634.36","2,006.86","2,653.98","2,779.45"
1104 環泥,2023/6/5,1104,27.95,28.25,27.95,28.1,"1,093",27.81,27.88,28.2275,27.08,"1,040.81","1,243.62","2,356.56","2,636.78"
1104 環泥,2023/6/2,1104,27.8,28.05,27.75,27.9,"1,034",27.76,27.855,28.315,27.0183,"1,070.92","1,325.33","2,480.34","2,623.63"
1104 環泥,2023/6/1,1104,27.5,27.8,27.5,27.8,861,27.74,27.79,28.4025,26.9583,"1,082.70","1,473.68","2,673.89","2,616.56"
1108 幸福,2023/6/30,1108,17.15,17.15,16.85,17,587,17.03,16.885,16.29,15.8925,"1,389.80","1,610.42","1,522.42","2,366.44"
1108 幸福,2023/6/29,1108,17.3,17.3,16.95,17.15,927,17.04,16.805,16.2025,15.8458,"1,591.86","1,622.83","1,531.05","2,373.35"
1108 幸福,2023/6/28,1108,16.9,17.25,16.85,17.2,"1,824",16.98,16.705,16.0975,15.7917,"1,678.62","1,654.06","1,529.20","2,374.73"
1108 幸福,2023/6/27,1108,17.25,17.25,16.6,16.7,"1,885",16.92,16.585,15.9975,15.7383,"1,701.26","1,706.11","1,484.58","2,357.53"
1108 幸福,2023/6/26,1108,17.05,17.3,16.95,17.1,"1,723",16.9,16.535,15.9175,15.695,"1,950.58","1,991.47","1,449.91","2,357.48"
1108 幸福,2023/6/21,1108,16.9,17.1,16.65,17.05,"1,597",16.74,16.375,15.825,15.6442,"1,831.05","1,907.95","1,426.84","2,347.69"
1108 幸福,2023/6/20,1108,17,17,16.6,16.85,"1,361",16.57,16.235,15.7475,15.595,"1,653.80","1,841.20","1,379.10","2,341.36"
1108 幸福,2023/6/19,1108,16.8,16.95,16.7,16.9,"1,937",16.43,16.1,15.6775,15.5492,"1,629.50","1,822.83","1,357.86","2,345.85"
1108 幸福,2023/6/16,1108,16.45,16.8,16.45,16.6,"3,132",16.25,15.95,15.6,15.5025,"1,710.96","1,712.47","1,311.90","2,349.53"
1108 幸福,2023/6/15,1108,16.2,16.35,16.1,16.3,"1,126",16.17,15.81,15.5325,15.46,"2,032.36","1,482.20","1,257.99","2,395.24"
1108 幸福,2023/6/14,1108,16.15,16.2,16,16.2,711,16.01,15.695,15.4875,15.4167,"1,984.85","1,434.42","1,248.87","2,441.96"
1108 幸福,2023/6/13,1108,16.25,16.25,15.85,16.15,"1,239",15.9,15.6,15.4475,15.3633,"2,028.61","1,439.28","1,272.63","2,455.86"
1108 幸福,2023/6/12,1108,16.4,16.4,15.85,16,"2,345",15.77,15.49,15.405,15.32,"2,016.15","1,404.34","1,287.07","2,452.51"
1108 幸福,2023/6/9,1108,16.5,16.5,15.9,16.2,"4,739",15.65,15.41,15.3675,15.2742,"1,713.97","1,263.05","1,240.79","2,436.78"
1108 幸福,2023/6/8,1108,15.75,15.75,15.5,15.5,888,15.45,15.3,15.3325,15.2267,932.038,908.337,"1,223.71","2,397.41"
1108 幸福,2023/6/7,1108,15.6,15.65,15.45,15.65,930,15.38,15.275,15.36,15.1892,883.989,945.736,"1,284.15","2,407.07"
1108 幸福,2023/6/6,1108,15.4,15.6,15.4,15.5,"1,177",15.3,15.26,15.395,15.1567,849.945,917.001,"1,326.74","2,410.08"
1108 幸福,2023/6/5,1108,15.2,15.45,15.2,15.4,834,15.21,15.255,15.4275,15.1292,792.518,892.893,"1,405.16","2,414.65"
1108 幸福,2023/6/2,1108,15.25,15.45,15.2,15.2,829,15.17,15.25,15.505,15.105,812.127,911.339,"1,504.93","2,419.68"
1108 幸福,2023/6/1,1108,15.25,15.3,15.1,15.15,648,15.15,15.255,15.5825,15.0842,884.637,"1,033.78","1,548.81","2,436.67"
1109 信大,2023/6/30,1109,18.5,18.5,18.4,18.5,125,18.51,18.56,18.6075,18.13,97.666,125.327,161.205,269.3
1109 信大,2023/6/29,1109,18.5,18.5,18.4,18.5,85,18.55,18.585,18.61,18.1058,101.201,120.488,161.114,268.283
1109 信大,2023/6/28,1109,18.5,18.5,18.45,18.45,62,18.55,18.61,18.6125,18.0817,101.732,138.092,161.6,268.056
1109 信大,2023/6/27,1109,18.5,18.5,18.4,18.5,88,18.57,18.635,18.6175,18.0583,114.749,145.038,167.787,270.471
1109 信大,2023/6/26,1109,18.7,18.7,18.5,18.6,127,18.59,18.655,18.6225,18.0333,135.22,157.693,170.834,270.127
1109 信大,2023/6/21,1109,18.55,18.75,18.45,18.7,142,18.61,18.66,18.6275,18.0083,152.988,152.954,169.794,269.277
1109 信大,2023/6/20,1109,18.55,18.6,18.5,18.5,88,18.62,18.665,18.625,17.98,139.775,152.271,174.822,269.589
1109 信大,2023/6/19,1109,18.55,18.6,18.55,18.55,127,18.67,18.695,18.6275,17.955,174.453,165.026,175.686,271.793
1109 信大,2023/6/16,1109,18.7,18.75,18.55,18.6,190,18.7,18.705,18.6275,17.9308,175.327,184.272,183.666,276.161
1109 信大,2023/6/15,1109,18.75,18.8,18.6,18.7,216,18.72,18.69,18.6225,17.9042,180.166,192.721,179.65,276.463
1109 信大,2023/6/14,1109,18.7,18.8,18.65,18.75,76,18.71,18.655,18.6125,17.8767,152.92,197.082,188.459,274.716
1109 信大,2023/6/13,1109,18.9,18.9,18.6,18.75,261,18.71,18.635,18.5925,17.8467,164.768,201.74,205.851,276.858
1109 信大,2023/6/12,1109,18.8,18.8,18.65,18.7,131,18.72,18.615,18.57,17.8142,155.6,185.108,213.332,276.19
1109 信大,2023/6/9,1109,18.7,18.75,18.7,18.7,215,18.71,18.6,18.5375,17.7817,193.218,190.536,229.105,276.508
1109 信大,2023/6/8,1109,18.75,18.75,18.65,18.65,79,18.66,18.59,18.4875,17.75,205.275,183.975,225.582,275.805
1109 信大,2023/6/7,1109,18.8,18.85,18.75,18.75,135,18.6,18.595,18.4375,17.7208,241.244,186.633,244.93,278.459
