date,company_id,open,high,low,close,volume,ma5,ma10,ma20,ma60,mavol_5,mavol_10,mavol_20,mavol_60
2023/9/28,1101,33.10 ,33.30 ,33.05 ,33.25 ,18375.00 ,33.18 ,33.91 ,34.35 ,35.79 ,24939.06 ,24053.12 ,24125.67 ,20783.92 
2023/9/27,1101,33.00 ,33.20 ,32.90 ,33.05 ,18100.00 ,33.29 ,34.13 ,34.43 ,35.87 ,28415.15 ,24040.32 ,25132.85 ,20764.37 
2023/9/26,1101,33.10 ,33.30 ,33.00 ,33.00 ,25651.00 ,33.55 ,34.36 ,34.55 ,35.95 ,30285.62 ,25058.06 ,25290.99 ,20655.45 
2023/9/25,1101,33.40 ,33.45 ,33.00 ,33.10 ,32303.00 ,33.91 ,34.52 ,34.67 ,36.04 ,28621.65 ,24272.17 ,25146.80 ,20371.29 
2023/9/22,1101,33.50 ,33.60 ,33.35 ,33.50 ,30264.00 ,34.31 ,34.63 ,34.77 ,36.12 ,25272.70 ,22824.34 ,24216.87 ,20018.90 
2023/9/21,1101,34.25 ,34.25 ,33.80 ,33.80 ,35756.00 ,34.63 ,34.69 ,34.85 ,36.20 ,23167.18 ,21981.70 ,23462.30 ,19680.46 
2023/9/20,1101,34.80 ,34.85 ,34.35 ,34.35 ,27453.00 ,34.97 ,34.74 ,34.93 ,36.27 ,19665.49 ,20604.18 ,22382.07 ,19399.84 
2023/9/19,1101,35.10 ,35.15 ,34.80 ,34.80 ,17331.00 ,35.16 ,34.75 ,34.97 ,36.34 ,19830.50 ,21849.48 ,21669.43 ,19112.13 
2023/9/18,1101,35.10 ,35.20 ,35.00 ,35.10 ,15558.00 ,35.12 ,34.77 ,35.00 ,36.40 ,19922.68 ,23761.99 ,21410.88 ,19046.13 
2023/9/15,1101,35.30 ,35.35 ,35.05 ,35.10 ,19736.00 ,34.94 ,34.78 ,35.02 ,36.46 ,20375.97 ,24229.09 ,21426.40 ,19031.30 
2023/9/14,1101,35.40 ,35.50 ,35.30 ,35.50 ,18247.00 ,34.74 ,34.79 ,35.02 ,36.52 ,20796.22 ,24198.23 ,21977.20 ,18997.00 
2023/9/13,1101,34.85 ,35.30 ,34.85 ,35.30 ,28278.00 ,34.51 ,34.74 ,35.03 ,36.57 ,21542.86 ,26225.37 ,23161.27 ,18907.66 
2023/9/12,1101,34.30 ,34.65 ,34.30 ,34.60 ,17792.00 ,34.33 ,34.74 ,35.07 ,36.63 ,23868.47 ,25523.93 ,23248.47 ,19088.91 
2023/9/11,1101,34.10 ,34.20 ,34.05 ,34.20 ,17824.00 ,34.41 ,34.82 ,35.17 ,36.69 ,27601.30 ,26021.44 ,23204.80 ,18998.71 
2023/9/8,1101,34.30 ,34.35 ,34.05 ,34.10 ,21838.00 ,34.61 ,34.92 ,35.30 ,36.76 ,28082.20 ,25609.41 ,23190.08 ,18898.36 
2023/9/7,1101,34.40 ,34.55 ,34.20 ,34.35 ,21981.00 ,34.84 ,35.02 ,35.47 ,36.83 ,27600.23 ,24942.90 ,22996.18 ,18771.72 
2023/9/6,1101,34.90 ,34.95 ,34.35 ,34.40 ,39906.00 ,34.96 ,35.11 ,35.59 ,36.90 ,30907.88 ,24159.96 ,22385.86 ,18678.19 
2023/9/5,1101,35.15 ,35.25 ,35.00 ,35.00 ,36456.00 ,35.14 ,35.20 ,35.73 ,36.96 ,27179.39 ,21489.39 ,20929.76 ,18221.40 
2023/9/4,1101,35.15 ,35.25 ,34.90 ,35.20 ,20229.00 ,35.22 ,35.24 ,35.84 ,37.02 ,24441.57 ,19059.77 ,19884.65 ,17854.68 
2023/9/1,1101,35.10 ,35.45 ,35.00 ,35.25 ,19428.00 ,35.22 ,35.26 ,35.96 ,37.08 ,23136.62 ,18623.71 ,19722.84 ,17712.41 
2023/9/28,1102,39.85 ,39.95 ,39.65 ,39.75 ,3602.00 ,39.73 ,39.95 ,39.98 ,40.58 ,3296.15 ,3598.74 ,3809.59 ,6679.01 
2023/9/27,1102,39.75 ,39.80 ,39.65 ,39.80 ,3166.00 ,39.71 ,40.00 ,39.99 ,40.66 ,3586.81 ,3641.20 ,3919.59 ,6699.28 
2023/9/26,1102,39.70 ,39.85 ,39.60 ,39.75 ,4878.00 ,39.76 ,40.02 ,40.01 ,40.74 ,3557.42 ,3590.32 ,3997.01 ,6707.42 
2023/9/25,1102,39.70 ,39.85 ,39.65 ,39.70 ,2241.00 ,39.87 ,40.04 ,40.02 ,40.82 ,3091.27 ,3390.96 ,3914.50 ,6673.51 
2023/9/22,1102,39.65 ,39.85 ,39.50 ,39.65 ,2591.00 ,40.00 ,40.04 ,40.04 ,40.90 ,3065.25 ,3594.07 ,4053.46 ,6711.23 
2023/9/21,1102,40.00 ,40.10 ,39.65 ,39.65 ,5055.00 ,40.16 ,40.03 ,40.04 ,40.98 ,3901.33 ,3723.31 ,4159.46 ,6735.66 
2023/9/20,1102,40.35 ,40.40 ,40.05 ,40.05 ,3019.00 ,40.28 ,40.03 ,40.05 ,41.07 ,3695.60 ,3743.60 ,4097.79 ,6711.25 
2023/9/19,1102,40.35 ,40.45 ,40.20 ,40.30 ,2547.00 ,40.27 ,40.02 ,40.03 ,41.14 ,3623.22 ,4196.24 ,4099.65 ,6713.40 
2023/9/18,1102,40.20 ,40.40 ,40.15 ,40.35 ,2111.00 ,40.20 ,40.02 ,39.99 ,41.21 ,3690.64 ,4169.17 ,4133.84 ,6797.32 
2023/9/15,1102,40.35 ,40.50 ,40.25 ,40.45 ,6772.00 ,40.08 ,40.03 ,39.96 ,41.27 ,4122.89 ,4247.38 ,4222.57 ,6838.08 
2023/9/14,1102,40.15 ,40.30 ,40.00 ,40.25 ,4027.00 ,39.90 ,40.01 ,39.89 ,41.33 ,3545.29 ,4020.43 ,4074.64 ,6817.61 
2023/9/13,1102,39.90 ,40.00 ,39.75 ,40.00 ,2657.00 ,39.77 ,39.98 ,39.85 ,41.40 ,3791.60 ,4197.97 ,4162.58 ,6827.12 
2023/9/12,1102,39.80 ,39.95 ,39.60 ,39.95 ,2884.00 ,39.76 ,40.00 ,39.81 ,41.46 ,4769.25 ,4403.71 ,4346.97 ,6921.69 
2023/9/11,1102,39.55 ,39.75 ,39.30 ,39.75 ,4272.00 ,39.84 ,40.01 ,39.80 ,41.53 ,4647.69 ,4438.03 ,4488.55 ,6950.75 
2023/9/8,1102,39.60 ,39.60 ,39.40 ,39.55 ,3884.00 ,39.97 ,40.04 ,39.84 ,41.60 ,4371.86 ,4512.85 ,4589.48 ,6974.72 
2023/9/7,1102,39.90 ,39.95 ,39.50 ,39.60 ,5258.00 ,40.12 ,40.04 ,39.86 ,41.67 ,4495.57 ,4595.61 ,4572.31 ,7003.60 
2023/9/6,1102,40.00 ,40.20 ,39.75 ,39.95 ,7546.00 ,40.18 ,40.07 ,39.88 ,41.75 ,4604.34 ,4451.97 ,4504.16 ,6963.39 
2023/9/5,1102,40.20 ,40.40 ,40.10 ,40.35 ,2276.00 ,40.23 ,40.05 ,39.89 ,41.83 ,4038.16 ,4003.06 ,4365.01 ,6886.63 
2023/9/4,1102,40.20 ,40.45 ,40.20 ,40.40 ,2893.00 ,40.18 ,39.97 ,39.89 ,41.90 ,4228.37 ,4098.52 ,4541.00 ,6922.37 
2023/9/1,1102,39.85 ,40.35 ,39.85 ,40.30 ,4502.00 ,40.10 ,39.90 ,39.90 ,41.97 ,4653.85 ,4197.77 ,4662.60 ,6980.67 
2023/9/28,1103,18.80 ,18.80 ,18.55 ,18.55 ,150.00 ,18.55 ,18.79 ,18.76 ,19.73 ,209.15 ,436.83 ,438.21 ,547.10 
2023/9/27,1103,18.55 ,18.70 ,18.45 ,18.50 ,239.00 ,18.57 ,18.83 ,18.77 ,19.78 ,246.65 ,503.31 ,458.47 ,555.39 
2023/9/26,1103,18.55 ,18.65 ,18.50 ,18.50 ,217.00 ,18.62 ,18.86 ,18.78 ,19.83 ,262.46 ,506.20 ,465.12 ,568.34 
2023/9/25,1103,18.60 ,18.80 ,18.60 ,18.65 ,198.00 ,18.71 ,18.88 ,18.78 ,19.89 ,312.62 ,525.50 ,472.11 ,580.01 
2023/9/22,1103,18.65 ,18.75 ,18.50 ,18.55 ,239.00 ,18.82 ,18.86 ,18.77 ,19.93 ,509.35 ,541.50 ,485.11 ,589.14 
2023/9/21,1103,18.80 ,18.80 ,18.60 ,18.65 ,338.00 ,19.03 ,18.85 ,18.77 ,19.98 ,664.51 ,542.44 ,492.14 ,596.05 
