公司,年月,上市別,證期會代碼,TSE 產業別,TEJ產業_名稱,ROA－綜合損益,季別,實收資本額(元),ROE(A)－稅後,當季季底P/E,當季季底P/B,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率,季底每股稅後淨利,收盤價(元),市值(百萬元),公司規模
1101 台泥,2023/6/30,TSE,1101,01,水泥製造,0.25 ,2,73561817420 ,2.20 ,21.71 ,1.27 ,12.07 ,281.10 ,281.10 ,296.34 ,884.96 ,6289.75 ,6289.75 ,1713.68 ,0.90 ,7.20 ,20.68 ,1.32 ,0.63 ,37.53 ,272293 ,大
1101 台泥,2023/3/31,TSE,1101,01,水泥製造,0.54 ,1,73561817420 ,0.42 ,39.62 ,1.18 ,14.46 ,18.32 ,18.32 ,-20.02 ,26.34 ,17.41 ,17.41 ,-33.31 ,1.95 ,1.83 ,22.69 ,0.14 ,0.19 ,35.91 ,260485 ,大
1101 台泥,2022/12/30,TSE,1101,01,水泥製造,1.17 ,4,73561817420 ,1.79 ,35.58 ,1.11 ,6.44 ,-64.04 ,-64.04 ,-94.13 ,-74.51 ,-80.39 ,-79.37 ,-78.14 ,4.33 ,5.59 ,22.82 ,-3.14 ,0.69 ,33.19 ,240806 ,大
1101 台泥,2022/9/30,TSE,1101,01,水泥製造,0.42 ,3,73561817420 ,0.69 ,22.81 ,1.13 ,3.08 ,-77.21 ,-77.21 ,-107.76 ,-85.32 ,-90.43 ,-89.76 ,-85.44 ,14.29 ,0.34 ,25.13 ,-2.81 ,0.35 ,33.34 ,227683 ,大
1101 台泥,2022/6/30,TSE,1101,01,水泥製造,0.15 ,2,73561817420 ,-0.04 ,19.53 ,1.21 ,-3.74 ,-84.30 ,-84.30 ,-116.00 ,-94.97 ,-100.70 ,-100.73 ,-97.60 ,16.62 ,-5.02 ,24.73 ,-2.44 ,0.14 ,34.57 ,241947 ,大
1101 台泥,2022/3/31,TSE,1101,01,水泥製造,2.26 ,1,73561817420 ,0.37 ,13.88 ,1.42 ,4.25 ,-62.23 ,-62.23 ,-95.07 ,-75.86 ,-77.04 ,-77.11 ,-71.70 ,16.09 ,4.49 ,20.28 ,-0.61 ,0.16 ,43.67 ,305649 ,大
1101 台泥,2021/12/30,TSE,1101,01,水泥製造,2.92 ,4,73561817420 ,9.07 ,11.53 ,1.44 ,-6.41 ,-29.10 ,-29.10 ,-36.87 ,-26.24 ,-24.26 ,-28.02 ,-30.56 ,13.40 ,3.12 ,6.30 ,-2.12 ,3.15 ,42.01 ,294011 ,大
1101 台泥,2021/9/30,TSE,1101,01,水泥製造,2.83 ,3,73561817420 ,6.91 ,11.08 ,1.55 ,-6.50 ,-29.05 ,-29.05 ,-33.85 ,-26.21 ,-21.57 ,-26.66 ,-28.87 ,5.79 ,6.43 ,3.80 ,-1.47 ,2.29 ,44.64 ,312334 ,大
1101 台泥,2021/6/30,TSE,1101,01,水泥製造,1.25 ,2,73561817420 ,5.11 ,9.15 ,1.44 ,-4.61 ,-15.17 ,-15.17 ,-18.38 ,-5.70 ,-1.01 ,-5.28 ,-9.72 ,0.86 ,17.34 ,-1.82 ,-0.24 ,1.72 ,41.69 ,312303 ,大
1101 台泥,2021/3/31,TSE,1101,01,水泥製造,0.78 ,1,73561817420 ,1.68 ,7.83 ,1.32 ,0.28 ,-4.43 ,-4.43 ,-5.66 ,2.56 ,7.16 ,7.48 ,5.82 ,8.58 ,8.82 ,-4.37 ,0.05 ,0.53 ,38.26 ,278808 ,大
