證券代碼,年月日,收盤價(元),季別,市值(百萬元),每股盈餘,ROE－綜合損益,營業毛利,營業收入淨額,營業費用,營業利益,營業毛利率,營業利益率,營業費用率,營收成長率,營業毛利成長率,營業利益成長率,營收變動率,營業利益變動率,流動比率,速動比率,負債比率,等級,評鑑結果,屆次
2302 麗正,2022/12/30,16.053,4,"2,777",0.17,1.29,"90,245","223,325","47,157","43,088",40.41,19.29,21.12,22.24,41.09,177.36,-8.54,-2.21,264.52,190.32,14.16,D-,81%至100%,9
2303 聯電,2022/12/30,37.9434,4,"508,943",1.55,6.01,"29,123,939","67,835,715","6,798,211","23,636,775",42.93,34.84,10.02,14.78,26.06,34.18,-10.02,-21.62,232.46,200.23,37.07,A+,前5%,9
2329 華泰,2022/12/30,16.8957,4,"9,746",0.24,4.34,"507,064","3,595,613","241,591","265,473",14.1,7.38,6.72,-11.46,-43.86,-58.99,-5.6,-24.64,202.27,154.83,42.46,C,36%至50%,9
2330 台積電,2022/12/30,444.0069,4,"11,629,776",11.41,9.78,"389,184,929","625,531,868","64,535,382","325,040,770",62.22,51.96,10.32,42.75,68.66,77.84,2.02,4.74,217.42,189.88,40.37,A+,前5%,9
2337 旺宏,2022/12/30,32.0093,4,"62,635",0.33,1.72,"3,097,085","9,077,926","2,342,835","754,250",34.12,8.31,25.81,-37.59,-54.87,-81.58,-20.87,-68.79,238.45,149.02,37.29,A,6%至20%,9
2338 光罩,2022/12/30,82.0297,4,"21,721",3.27,14.53,"535,695","1,970,974","234,154","301,541",27.18,15.3,11.88,16.02,29.96,73.39,-4.71,-0.92,84.59,71.83,75.22,D,66%至80%,9
2340 台亞,2022/12/30,33.161,4,"14,804",-0.04,-0.93,"158,051","860,213","194,689","-36,638",18.37,-4.26,22.63,-37.05,-62.02,-120.95,-18.76,-144.52,349.94,263.19,19.38,C,36%至50%,9
2342 茂矽,2022/12/30,35.3005,4,"5,793",0.32,3.01,"134,612","498,732","57,627","76,985",26.99,15.44,11.55,-5.91,-12.81,-18.65,-9.8,-21.24,346.1,310.51,35.74,C-,51%至65%,9
2344 華邦電,2022/12/30,19.6,4,"78,008",0.14,3.55,"7,200,399","19,223,813","6,242,958","957,441",37.46,4.98,32.48,-26.05,-38.56,-82.78,-13.19,-72.43,246.74,164.68,44.22,A,6%至20%,9
2351 順德,2022/12/30,93.4195,4,"17,558",0.84,2.49,"467,667","2,848,048","201,170","266,497",16.42,9.36,7.06,-6.16,-8.87,-7.24,-5,6.84,214.43,96.19,45.95,B,21%至35%,9
2363 矽統,2022/12/30,15.374,4,"12,181",-0.14,10.76,"-4,889","44,418","106,489","-111,378",-11.01,-250.75,239.74,-34.93,-120.72,-21.23,27.27,1.67,"1,683.20","1,563.87",0.71,D,66%至80%,9
2369 菱生,2022/12/30,12.7562,4,"4,922",0.03,1.5,"-14,631","1,236,968","105,812","-120,443",-1.18,-9.74,8.55,-37.12,-103.81,-150.36,-8.93,-53.84,232.56,172.41,32.05,C,36%至50%,9
2379 瑞昱,2022/12/30,281,4,"144,115",4.16,0.27,"9,499,970","21,762,118","7,729,684","1,770,286",43.65,8.13,35.52,-20.49,-34.35,-62.16,-26.9,-56.14,152.68,110.98,58.87,A,6%至20%,9
2388 威盛,2022/12/30,67.1767,4,"33,482",0.01,-1.88,"686,851","2,203,992","841,375","-154,524",31.16,-7.01,38.18,13.74,-13.39,67.25,-15.08,-312.53,240.67,182.23,40.3,C,36%至50%,9
