公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率
1101 台泥,1101,1101,2023/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,37.53,2,0.45,-0.57,-0.3,9.89,4449.74,4449.74,267.77,1429.93,547.18,547.18,615.51,0.9,7.2,20.68,1.17
1101 台泥,1101,1101,2023/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,35.91,1,0.2,1.05,0.54,14.46,18.32,18.32,-20.02,26.34,17.41,17.41,-33.31,1.95,1.83,22.69,0.14
1101 台泥,1101,1101,2022/12/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,33.19,4,0.36,1.47,0.74,14.99,-29.4,-29.4,-50.1,-43.48,-47.54,-47.54,-55.5,4.33,5.59,22.82,-0.32
1101 台泥,1101,1101,2022/9/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,33.34,3,0.17,0.55,0.27,15.78,-57.82,-57.82,-83.73,-55.17,-61.33,-55.73,-49.81,14.29,0.34,25.13,-0.36
1101 台泥,1101,1101,2022/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,34.57,2,-0.02,-4.14,-2.08,-10.03,-98.47,-98.47,-128.5,-104.44,-111.37,-112.15,-110.92,16.62,-5.02,24.73,-1.78
1101 台泥,1101,1101,2022/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,43.67,1,0.2,4.38,2.26,4.25,-62.23,-62.23,-95.07,-75.86,-77.04,-77.11,-71.7,16.09,4.49,20.28,-0.61
1101 台泥,1101,1101,2021/12/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,42.01,4,0.9,0.42,0.22,-6.17,-29.24,-29.24,-44.98,-26.31,-31.9,-31.9,-35.34,13.4,3.12,6.3,-0.63
1101 台泥,1101,1101,2021/9/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,44.64,3,0.59,2.81,1.6,-9.82,-50.96,-50.96,-57.4,-56.06,-50.62,-56.87,-56.12,5.79,6.43,3.8,-1.24
1101 台泥,1101,1101,2021/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,41.69,2,1.24,0.8,0.47,-8.13,-20.87,-20.87,-24.46,-9.32,-4.3,-10.42,-16.06,0.86,17.34,-1.82,-0.29
1101 台泥,1101,1101,2021/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,38.26,1,0.57,1.37,0.78,0.28,-4.43,-4.43,-5.66,2.56,7.16,7.48,5.82,8.58,8.82,-4.37,0.05
1102 亞泥,1102,1102,2023/6/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,42.12,2,1.26,2.09,1.14,-9.47,-19.25,-19.25,-11.94,-1.67,-7,-7,-26.23,2.67,3.4,,-0.07
1102 亞泥,1102,1102,2023/3/31,1,水泥製造,M11A,TEJN01  傳產- 水泥,41.08,1,0.81,2.2,1.22,-6.06,-33.48,-33.48,-40.79,-7.29,1.85,1.85,-25.76,3.76,-4.9,,0.06
1102 亞泥,1102,1102,2022/12/30,1,水泥製造,M11A,TEJN01  傳產- 水泥,38.9,4,0.18,-0.49,-0.28,-12.92,-70.07,-70.07,-79.15,-81.31,-85.92,-85.92,-95.51,2.27,2.2,-4.77,-1.16
