證券代碼,年月日,證期會代碼,外資買賣超(張),投信買賣超(張),自營買賣超(張),合計買賣超(張)
1101 台泥,2023/9/19,1101,-5633,510,-351,-5474
1101 台泥,2023/9/18,1101,-2380,140,-83,-2322
1101 台泥,2023/9/15,1101,-668,-1653,-410,-2730
1101 台泥,2023/9/14,1101,1662,-405,138,1395
1101 台泥,2023/9/13,1101,-4303,39,448,-3816
1101 台泥,2023/9/12,1101,-2508,49,13,-2446
1101 台泥,2023/9/11,1101,-4207,84,-29,-4152
1101 台泥,2023/9/8,1101,-7275,-373,-110,-7758
1101 台泥,2023/9/7,1101,-3825,56,-275,-4043
1101 台泥,2023/9/6,1101,-18901,58,-1760,-20603
1101 台泥,2023/9/5,1101,-8772,30,123,-8618
1101 台泥,2023/9/4,1101,-3864,62,-70,-3873
1101 台泥,2023/9/1,1101,-5509,17,-286,-5778
1101 台泥,2023/8/31,1101,-8742,34,42,-8666
1101 台泥,2023/8/30,1101,-3174,8,47,-3120
1101 台泥,2023/8/29,1101,-972,41,129,-802
1101 台泥,2023/8/28,1101,-1481,67,-107,-1521
1101 台泥,2023/8/25,1101,-3852,62,-94,-3883
1101 台泥,2023/8/24,1101,1148,-32,-32,1084
1101 台泥,2023/8/23,1101,-1180,21,-6,-1165
1101 台泥,2023/8/22,1101,-516,-778,-30,-1324
1101 台泥,2023/8/21,1101,1057,41,-38,1060
1101 台泥,2023/8/18,1101,-6992,72,-94,-7014
1101 台泥,2023/8/17,1101,153,-167,-126,-139
1101 台泥,2023/8/16,1101,-4094,-114,121,-4088
1101 台泥,2023/8/15,1101,-3873,41,-146,-3978
1101 台泥,2023/8/14,1101,-3176,252,-115,-3040
1101 台泥,2023/8/11,1101,5767,43,-93,5717
1101 台泥,2023/8/10,1101,-1616,91,-183,-1708
1101 台泥,2023/8/9,1101,-497,87,-74,-484
1101 台泥,2023/8/8,1101,-5695,-197,-767,-6659
1101 台泥,2023/8/7,1101,6514,127,-45,6596
1101 台泥,2023/8/4,1101,868,197,314,1380
1101 台泥,2023/8/2,1101,-3643,142,-320,-3822
1101 台泥,2023/8/1,1101,2769,4,90,2863
1101 台泥,2023/7/31,1101,1368,-58,106,1416
1101 台泥,2023/7/28,1101,-477,-61,108,-429
1101 台泥,2023/7/27,1101,1604,-41,90,1653
1101 台泥,2023/7/26,1101,-1646,152,-272,-1765
1101 台泥,2023/7/25,1101,355,-16,92,431
1101 台泥,2023/7/24,1101,-5319,-466,117,-5668
1101 台泥,2023/7/21,1101,-11767,-539,-349,-12656
1101 台泥,2023/7/20,1101,63,-1563,18,-1482
1101 台泥,2023/7/19,1101,-3078,-1834,-369,-5281
1101 台泥,2023/7/18,1101,-3251,3424,-108,66
1101 台泥,2023/7/17,1101,85,292,-101,276
1101 台泥,2023/7/14,1101,-236,106,-7,-137
1101 台泥,2023/7/13,1101,-1211,-2442,372,-3281
1101 台泥,2023/7/12,1101,-2340,-1306,-256,-3902
1101 台泥,2023/7/11,1101,-4766,-1526,-213,-6505
1101 台泥,2023/7/10,1101,-13239,1148,97,-11993
1101 台泥,2023/7/7,1101,-5513,1340,-629,-4802
1101 台泥,2023/7/6,1101,-17382,1271,-690,-16801
1101 台泥,2023/7/5,1101,-7856,-33,-291,-8180
1101 台泥,2023/7/4,1101,-4440,29,122,-4289
1101 台泥,2023/7/3,1101,267,-4,276,539
1101 台泥,2023/6/30,1101,-2276,-798,-29,-3103
1101 台泥,2023/6/29,1101,-651,5,-24,-671
1101 台泥,2023/6/28,1101,-7907,10,-241,-8138
1101 台泥,2023/6/27,1101,-1605,15,-93,-1682
1101 台泥,2023/6/26,1101,1270,6,382,1658
